location,month,inc,epi_m3,pre,m3
AL,2022-08-01,19.0384525545764,TRUE,3.76074198701667,19.9023823343639
SE,2022-08-01,6.14864901522152,TRUE,2.59656716970158,5.77189356085746
BA,2022-08-01,1.91690810499445,FALSE,3.10749828945093,1.81912987425333
MG,2022-08-01,1.29815986081024,FALSE,6.58714219564422,1.29011673899605
RJ,2022-08-01,0.601846730581987,FALSE,1.56693347501293,0.59984057481338
SP,2022-08-01,1.85768858303923,FALSE,6.85951251144783,1.74108512811942
PR,2022-08-01,1.47016838244048,FALSE,8.42804452315355,1.43918782265725
SC,2022-08-01,0.966226642759213,FALSE,1.74273086633731,0.936166258317814
RS,2022-08-01,0.216503990980444,FALSE,0.381665310847904,0.210489991230988
MS,2022-08-01,6.4226030457254,FALSE,12.463745200619,6.97546448006441
MT,2022-08-01,3.32959942540627,FALSE,7.31871328003893,3.30317403314114
GO,2022-08-01,11.1444741406444,FALSE,19.2490133607959,12.0755800765983
DF,2022-08-01,11.6304168238768,TRUE,8.00808098899717,12.0294997541079
RO,2022-08-01,4.45440085524496,FALSE,4.84033150734982,4.53688975997172
AC,2022-08-01,0.964110969172552,FALSE,19.9076178812364,1.28548129223007
AM,2022-08-01,1.08798455163145,FALSE,3.30415117366066,1.0542485965421
RR,2022-08-01,0,FALSE,4.58785549077711,0.0525095633042166
PA,2022-08-01,0.379013905309535,FALSE,1.4848882295236,0.454027074068713
AP,2022-08-01,0.516616985333244,FALSE,3.11327342968705,0.559668400777681
TO,2022-08-01,4.22898101755595,FALSE,10.0215445339353,3.66090894057083
MA,2022-08-01,0.955797315091819,TRUE,0.638578848994235,1.1665628768813
PI,2022-08-01,1.38154198506093,TRUE,1.58424786433578,1.57598122740283
CE,2022-08-01,5.80768765517241,TRUE,5.24104670577372,6.31124438827984
RN,2022-08-01,15.7387226755344,TRUE,5.37118743007576,15.6277445028223
PB,2022-08-01,8.1866334107425,TRUE,3.52823651584221,7.5333566032186
PE,2022-08-01,2.97414867758183,FALSE,4.459154341966,2.62403204267443
AL,2022-08-01,14.97478284965,TRUE,3.76074198701667,15.9773680261935
SE,2022-08-01,3.93332694356083,TRUE,2.59656716970158,4.85261025220914
BA,2022-08-01,1.4871386722021,FALSE,3.10749828945093,1.57809516591476
MG,2022-08-01,1.13890604888928,FALSE,6.58714219564422,1.2627701248278
RJ,2022-08-01,0.505551253688869,FALSE,1.56693347501293,0.535643590217969
SP,2022-08-01,1.57523300900988,FALSE,6.85951251144783,1.65924543615707
PR,2022-08-01,1.33498048520457,FALSE,8.42804452315355,1.31808199805008
SC,2022-08-01,0.772981314207371,FALSE,1.74273086633731,0.815924720552223
RS,2022-08-01,0.144335993986962,FALSE,0.381665310847904,0.174405992734247
MS,2022-08-01,7.05780554475319,FALSE,12.463745200619,6.46965508269043
MT,2022-08-01,2.85394236463395,FALSE,7.31871328003893,3.03892011048985
GO,2022-08-01,13.4482414048603,FALSE,19.2490133607959,12.6467223775185
DF,2022-08-01,13.2039438059308,TRUE,8.00808098899717,13.1811390670604
RO,2022-09-01,5.07306764069565,TRUE,4.84033150734982,4.61937866469848
AC,2022-09-01,1.5666803249054,FALSE,19.9076178812364,1.5666803249054
AM,2022-09-01,1.41691011375258,FALSE,3.30415117366066,1.95668539518213
RR,2022-09-01,0,FALSE,4.58785549077711,-1.85037170770859e-16
PA,2022-09-01,0.426390643473227,FALSE,1.4848882295236,0.426390643473227
AP,2022-09-01,0.387462738999933,FALSE,3.11327342968705,0.731874062555429
TO,2022-09-01,2.27228830794051,FALSE,10.0215445339353,3.49259128813079
MA,2022-09-01,0.970501889170155,TRUE,0.638578848994235,0.955797315091819
PI,2022-09-01,1.41224291806228,FALSE,1.58424786433578,1.23827096438794
CE,2022-09-01,5.53912406418178,FALSE,5.24104670577372,5.33397132106393
RN,2022-09-01,11.6527081347707,TRUE,5.37118743007576,12.5102667420915
PB,2022-09-01,6.84700248898464,TRUE,3.52823651584221,6.95450373579237
PE,2022-09-01,2.07858717987132,FALSE,4.459154341966,2.28865716081576
AL,2022-09-01,13.9188686743541,TRUE,3.76074198701667,13.7588816780972
SE,2022-09-01,4.47585479784508,TRUE,2.59656716970158,4.15938021617927
BA,2022-09-01,1.33023872054775,FALSE,3.10749828945093,1.36434740569
MG,2022-09-01,1.35124446478389,FALSE,6.58714219564422,1.34641859169538
ES,2022-09-01,0,FALSE,10.0107909449537,1.08246744900953e-15
RJ,2022-09-01,0.499532786383049,FALSE,1.56693347501293,0.521600499837722
SP,2022-09-01,1.5448147164221,FALSE,6.85951251144783,1.54626320654533
PR,2022-09-01,1.1490971265052,FALSE,8.42804452315355,1.18852692986567
SC,2022-09-01,0.70856620469009,FALSE,1.74273086633731,0.730037907862515
RS,2022-09-01,0.162377993235333,FALSE,0.381665310847904,0.120279994989136
MS,2022-09-01,5.92855665759268,FALSE,12.463745200619,6.45789207344917
MT,2022-09-01,2.93321854142933,FALSE,7.31871328003893,2.80990004419206
GO,2022-09-01,13.3474515870509,FALSE,19.2490133607959,13.3426520719171
DF,2022-09-01,14.7090565713736,TRUE,8.00808098899717,14.1161333607446
RO,2022-09-01,4.33066749815483,TRUE,4.84033150734982,5.32053435487593
AC,2022-09-01,2.16924968063824,FALSE,19.9076178812364,1.84787935758073
AM,2022-09-01,3.36516152016238,FALSE,3.30415117366066,2.7747823060988
RR,2022-09-01,0,FALSE,4.58785549077711,0.262547816521084
PA,2022-09-01,0.473767381636918,FALSE,1.4848882295236,0.426390643473227
AP,2022-09-01,1.29154246333311,FALSE,3.11327342968705,0.774925477999866
TO,2022-09-01,3.9765045388959,FALSE,10.0215445339353,3.36635304880076
MA,2022-09-01,0.941092741013483,TRUE,0.638578848994235,1.00971408671238
PI,2022-09-01,0.921027990040617,FALSE,1.58424786433578,1.03359807771225
CE,2022-09-01,4.65510224383761,FALSE,5.24104670577372,4.58423129621509
RN,2022-09-01,10.1393694159693,TRUE,5.37118743007576,10.1393694159693
PB,2022-09-01,5.82987530764996,TRUE,3.52823651584221,5.87949126771507
