doenca,termo,geo,max_correlation,lag,p_value
casos_dengue,Chikungunya,MG,0.831703957834617,0,0
casos_dengue,Chikungunya,MS,0.679324921119689,-2,0
casos_dengue,Chikungunya,MT,0.591859587484529,-3,0
casos_dengue,Chikungunya,PA,0.359763787020851,-2,1.46540188872279e-08
casos_dengue,Chikungunya,PB,0.866143127218943,-2,0
casos_dengue,Chikungunya,PE,0.7050430927632,-1,0
casos_dengue,Chikungunya,PI,0.860973728003031,-3,0
casos_dengue,Chikungunya,PR,0.593085665472073,1,0
casos_dengue,Chikungunya,RJ,0.540069962321235,0,0
casos_dengue,Chikungunya,RN,0.766649656529329,-3,0
casos_dengue,Chikungunya,RO,0.13080114364939,-7,0.0394120729341454
casos_dengue,Chikungunya,RR,0.0240328846479927,13,0.705081293155546
casos_dengue,Chikungunya,RS,0.585753224227516,2,0
casos_dengue,Chikungunya,SC,0.794622369524259,0,0
casos_dengue,Chikungunya,SE,0.396015776203128,0,4.475759762812e-10
casos_dengue,Chikungunya,SP,0.623570720216702,1,0
casos_dengue,Chikungunya,TO,0.438516974988757,-14,4.99311703094918e-12
casos_dengue,COVID-19,AC,0.295769084027206,-6,3.19643432011851e-06
casos_dengue,COVID-19,AL,0.0819893551386443,19,0.196644854635814
casos_dengue,COVID-19,AM,0.0431745973380907,8,0.496558765269136
casos_dengue,COVID-19,AP,-0.206933535955825,-20,0.00111887437651736
casos_dengue,COVID-19,BA,-0.109660945391398,-4,0.0841780274804867
casos_dengue,COVID-19,Brasil,-0.244940368850386,-20,0.000111046503042056
casos_dengue,COVID-19,CE,0.321129533681484,0,4.25561911043815e-07
casos_dengue,COVID-19,DF,-0.17947932604379,-5,0.00470680829105308
casos_dengue,COVID-19,ES,0.375113113113699,-18,3.47787110221987e-09
casos_dengue,COVID-19,GO,-0.158441374948978,9,0.0125908412391909
casos_dengue,COVID-19,MA,-0.183074459171354,-10,0.00393833085543593
casos_dengue,COVID-19,MG,-0.253654328044237,0,6.48165987686689e-05
casos_dengue,COVID-19,MS,0.0319765524552197,-18,0.614565510283391
