SE_SIN_PRI,casos_dengue,casos_chik,UF,casos_arbo,casos_srag,casos_covid,casos_influenza,casos_outros_srag,casos_na_srag
2010-04-18,108,0,AM,108,,,,,
2010-04-18,228,0,RR,228,,,,,
2010-04-18,278,0,PA,278,,,,,
2010-04-18,50,0,AP,50,,,,,
2010-04-18,412,0,TO,412,,,,,
2010-04-18,81,0,MA,81,,,,,
2010-04-18,222,0,PI,222,,,,,
2010-04-18,348,0,CE,348,,,,,
2010-04-18,79,0,RN,79,,,,,
2010-04-18,117,0,PB,117,,,,,
2010-04-18,766,0,PE,766,,,,,
2010-04-18,2132,0,AL,2132,,,,,
2010-04-18,16,0,SE,16,,,,,
2010-04-18,1620,0,BA,1620,,,,,
2010-04-18,12644,0,MG,12644,,,,,
2010-04-18,1105,0,ES,1105,,,,,
2010-04-18,1236,0,RJ,1236,,,,,
2010-04-18,10868,0,SP,10868,,,,,
2010-04-18,2830,0,PR,2830,,,,,
2010-04-18,8,0,SC,8,,,,,
2010-04-18,60,0,RS,60,,,,,
2010-04-18,1976,0,MS,1976,,,,,
2010-04-18,522,0,MT,522,,,,,
2010-04-18,2423,0,GO,2423,,,,,
2010-04-18,722,0,DF,722,,,,,
2010-04-25,175,0,RO,175,,,,,
2010-04-25,594,0,AC,594,,,,,
2010-04-25,69,0,AM,69,,,,,
2010-04-25,188,0,RR,188,,,,,
2010-04-25,263,0,PA,263,,,,,
2010-04-25,63,0,AP,63,,,,,
2010-04-25,376,0,TO,376,,,,,
2010-04-25,98,0,MA,98,,,,,
2010-04-25,303,0,PI,303,,,,,
2010-04-25,452,0,CE,452,,,,,
2010-04-25,116,0,RN,116,,,,,
2010-04-25,142,0,PB,142,,,,,
2010-04-25,943,0,PE,943,,,,,
2010-04-25,1892,0,AL,1892,,,,,
2010-04-25,14,0,SE,14,,,,,
2010-04-25,2015,0,BA,2015,,,,,
2010-04-25,14320,0,MG,14320,,,,,
2010-04-25,1217,0,ES,1217,,,,,
2010-04-25,1647,0,RJ,1647,,,,,
2010-04-25,12463,0,SP,12463,,,,,
2010-04-25,3120,0,PR,3120,,,,,
2010-04-25,7,0,SC,7,,,,,
2010-04-25,34,0,RS,34,,,,,
2010-04-25,2033,0,MS,2033,,,,,
2010-04-25,476,0,MT,476,,,,,
2010-04-25,2874,0,GO,2874,,,,,
2010-04-25,834,0,DF,834,,,,,
2010-05-02,120,0,RO,120,,,,,
2010-05-02,474,0,AC,474,,,,,
2010-05-02,91,0,AM,91,,,,,
2010-05-02,217,0,RR,217,,,,,
2010-05-02,282,0,PA,282,,,,,
2010-05-02,47,0,AP,47,,,,,
2010-05-02,336,0,TO,336,,,,,
2010-05-02,95,0,MA,95,,,,,
2010-05-02,224,0,PI,224,,,,,
2010-05-02,442,0,CE,442,,,,,
2010-05-02,117,0,RN,117,,,,,
2010-05-02,158,0,PB,158,,,,,
2010-05-02,1158,0,PE,1158,,,,,
2010-05-02,2106,0,AL,2106,,,,,
2010-05-02,21,0,SE,21,,,,,
2010-05-02,2095,0,BA,2095,,,,,
2010-05-02,13578,0,MG,13578,,,,,
2010-05-02,1206,0,ES,1206,,,,,
2010-05-02,1698,0,RJ,1698,,,,,
2010-05-02,10458,0,SP,10458,,,,,
2010-05-02,2727,0,PR,2727,,,,,
2010-05-02,8,0,SC,8,,,,,
2010-05-02,36,0,RS,36,,,,,
2010-05-02,1561,0,MS,1561,,,,,
2010-05-02,344,0,MT,344,,,,,
2010-05-02,2635,0,GO,2635,,,,,
2010-05-02,969,0,DF,969,,,,,
2010-05-09,86,0,RO,86,,,,,
2010-05-09,395,0,AC,395,,,,,
2010-05-09,124,0,AM,124,,,,,
2010-05-09,218,0,RR,218,,,,,
2010-05-09,289,0,PA,289,,,,,
2010-05-09,80,0,AP,80,,,,,
2010-05-09,239,0,TO,239,,,,,
2010-05-09,117,0,MA,117,,,,,
2010-05-09,312,0,PI,312,,,,,
2010-05-09,503,0,CE,503,,,,,
2010-05-09,142,0,RN,142,,,,,
2010-05-09,212,0,PB,212,,,,,
2010-05-09,1485,0,PE,1485,,,,,
2010-05-09,2127,0,AL,2127,,,,,
2010-05-09,29,0,SE,29,,,,,
2010-05-09,2085,0,BA,2085,,,,,
2010-05-09,9849,0,MG,9849,,,,,
2010-05-09,1312,0,ES,1312,,,,,
2010-05-09,1613,0,RJ,1613,,,,,
2010-05-09,7278,0,SP,7278,,,,,
2010-05-09,1711,0,PR,1711,,,,,
2010-05-09,3,0,SC,3,,,,,
2010-05-09,15,0,RS,15,,,,,
2010-05-09,991,0,MS,991,,,,,
2010-05-09,190,0,MT,190,,,,,
2010-05-09,1777,0,GO,1777,,,,,
2010-05-09,750,0,DF,750,,,,,
2010-05-16,68,0,RO,68,,,,,
2010-05-16,256,0,AC,256,,,,,
2010-05-16,90,0,AM,90,,,,,
2010-05-16,284,0,RR,284,,,,,
2010-05-16,265,0,PA,265,,,,,
2010-05-16,68,0,AP,68,,,,,
2010-05-16,239,0,TO,239,,,,,
2010-05-16,76,0,MA,76,,,,,
2010-05-16,263,0,PI,263,,,,,
2010-05-16,576,0,CE,576,,,,,
2010-05-16,168,0,RN,168,,,,,
2010-05-16,257,0,PB,257,,,,,
2010-05-16,1708,0,PE,1708,,,,,
2010-05-16,1772,0,AL,1772,,,,,
2010-05-16,38,0,SE,38,,,,,
2010-05-16,2237,0,BA,2237,,,,,
2010-05-16,6932,0,MG,6932,,,,,
2010-05-16,1273,0,ES,1273,,,,,
2010-05-16,1494,0,RJ,1494,,,,,
2010-05-16,4422,0,SP,4422,,,,,
2010-05-16,658,0,PR,658,,,,,
2010-05-16,1,0,SC,1,,,,,
2010-05-16,9,0,RS,9,,,,,
2010-05-16,464,0,MS,464,,,,,
2010-05-16,179,0,MT,179,,,,,
2010-05-16,1461,0,GO,1461,,,,,
2010-05-16,642,0,DF,642,,,,,
2010-05-23,40,0,RO,40,,,,,
2010-05-23,204,0,AC,204,,,,,
2010-05-23,83,0,AM,83,,,,,
2010-05-23,413,0,RR,413,,,,,
2010-05-23,261,0,PA,261,,,,,
2010-05-23,67,0,AP,67,,,,,
2010-05-23,183,0,TO,183,,,,,
2010-05-23,85,0,MA,85,,,,,
2010-05-23,246,0,PI,246,,,,,
2010-05-23,476,0,CE,476,,,,,
2010-05-23,159,0,RN,159,,,,,
2010-05-23,193,0,PB,193,,,,,
2010-05-23,1877,0,PE,1877,,,,,
2010-05-23,1741,0,AL,1741,,,,,
2010-05-23,26,0,SE,26,,,,,
2010-05-23,2043,0,BA,2043,,,,,
2010-05-23,4915,0,MG,4915,,,,,
2010-05-23,1080,0,ES,1080,,,,,
2010-05-23,1239,0,RJ,1239,,,,,
2010-05-23,3063,0,SP,3063,,,,,
2010-05-23,381,0,PR,381,,,,,
2010-05-23,4,0,SC,4,,,,,
2010-05-23,3,0,RS,3,,,,,
2010-05-23,308,0,MS,308,,,,,
2010-05-23,170,0,MT,170,,,,,
2010-05-23,1082,0,GO,1082,,,,,
2010-05-23,610,0,DF,610,,,,,
