topicTitle,topicId,value,geo,keyword,time,sys_time
Body ache,/g/11k71tc65k,8,BR-AC,Dengue,2024-01,2024-11-13 10:30
Liver,/m/04p8w,8,BR-AC,Dengue,2024-01,2024-11-13 10:30
Ibuprofen,/m/014d3g,8,BR-AC,Dengue,2024-01,2024-11-13 10:30
Vaccine,/m/07__7,7,BR-AC,Dengue,2024-01,2024-11-13 10:30
Itch,/m/04kllm9,6,BR-AC,Dengue,2024-01,2024-11-13 10:30
Allergy,/m/0fd23,6,BR-AC,Dengue,2024-01,2024-11-13 10:30
Clove,/g/121hrbw_,6,BR-AC,Dengue,2024-01,2024-11-13 10:30
Virus,/m/0g9pc,6,BR-AC,Dengue,2024-01,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-02,2024-11-13 10:30
Pain,/m/062t2,57,BR-AC,Dengue,2024-02,2024-11-13 10:30
Vaccine,/m/07__7,49,BR-AC,Dengue,2024-02,2024-11-13 10:30
Mosquito,/m/09f96,42,BR-AC,Dengue,2024-02,2024-11-13 10:30
Dengue vaccine,/m/0115n7rn,39,BR-AC,Dengue,2024-02,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,39,BR-AC,Dengue,2024-02,2024-11-13 10:30
Fever,/m/0cjf0,35,BR-AC,Dengue,2024-02,2024-11-13 10:30
Disease,/m/027x3,34,BR-AC,Dengue,2024-02,2024-11-13 10:30
Juice,/m/01z1kdw,33,BR-AC,Dengue,2024-02,2024-11-13 10:30
Metamizole,/m/08j19g,31,BR-AC,Dengue,2024-02,2024-11-13 10:30
Tea,/m/07clx,26,BR-AC,Dengue,2024-02,2024-11-13 10:30
Abdomen,/m/08y7p8,24,BR-AC,Dengue,2024-02,2024-11-13 10:30
Eating,/m/01f5gx,23,BR-AC,Dengue,2024-02,2024-11-13 10:30
Cause,/m/0j276x9,21,BR-AC,Dengue,2024-02,2024-11-13 10:30
Diarrhea,/m/0f3kl,18,BR-AC,Dengue,2024-02,2024-11-13 10:30
Zika virus,/m/080m_5j,16,BR-AC,Dengue,2024-02,2024-11-13 10:30
Bleeding,/m/012n6x,15,BR-AC,Dengue,2024-02,2024-11-13 10:30
Platelet,/m/01bw6w,14,BR-AC,Dengue,2024-02,2024-11-13 10:30
Virus,/m/0g9pc,13,BR-AC,Dengue,2024-02,2024-11-13 10:30
COVID-19,/g/11j2cc_qll,12,BR-AC,Dengue,2024-02,2024-11-13 10:30
Abdominal pain,/m/02tfl8,11,BR-AC,Dengue,2024-02,2024-11-13 10:30
Chikungunya virus infection,/m/01__7l,9,BR-AC,Dengue,2024-02,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-03,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,52,BR-AC,Dengue,2024-03,2024-11-13 10:30
Mosquito,/m/09f96,52,BR-AC,Dengue,2024-03,2024-11-13 10:30
Cure,/m/0405g08,47,BR-AC,Dengue,2024-03,2024-11-13 10:30
COVID-19,/g/11j2cc_qll,33,BR-AC,Dengue,2024-03,2024-11-13 10:30
Transmission,/m/036991,33,BR-AC,Dengue,2024-03,2024-11-13 10:30
Disease,/m/027x3,32,BR-AC,Dengue,2024-03,2024-11-13 10:30
Vaccine,/m/07__7,26,BR-AC,Dengue,2024-03,2024-11-13 10:30
Virus,/m/0g9pc,22,BR-AC,Dengue,2024-03,2024-11-13 10:30
Zika fever,/m/02vkznh,19,BR-AC,Dengue,2024-03,2024-11-13 10:30
Bleeding,/m/012n6x,19,BR-AC,Dengue,2024-03,2024-11-13 10:30
Metamizole,/m/08j19g,17,BR-AC,Dengue,2024-03,2024-11-13 10:30
Chikungunya virus infection,/m/01__7l,13,BR-AC,Dengue,2024-03,2024-11-13 10:30
Acetaminophen,/m/0lbt3,12,BR-AC,Dengue,2024-03,2024-11-13 10:30
Dengue vaccine,/m/0115n7rn,11,BR-AC,Dengue,2024-03,2024-11-13 10:30
Vaccine,/m/07__7,100,BR-AC,Dengue,2024-04,2024-11-13 10:30
Mosquito,/m/09f96,79,BR-AC,Dengue,2024-04,2024-11-13 10:30
Dengue vaccine,/m/0115n7rn,71,BR-AC,Dengue,2024-04,2024-11-13 10:30
Symptom,/m/01b_06,57,BR-AC,Dengue,2024-04,2024-11-13 10:30
Health,/m/0kt51,46,BR-AC,Dengue,2024-04,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,36,BR-AC,Dengue,2024-04,2024-11-13 10:30
